name,team,image_url
Joey Wiemer,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/d/dfae304e_mlbam.jpg
Vinny Capra,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/5/52db678d_mlbam.jpg
César Salazar,Houston Astros,https://www.baseball-reference.com/req/202406130/images/headshots/e/e32eff85_mlbam.jpg
Brewer Hicklen,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/e/e5ed2f0d_mlbam.jpg
Grae Kessinger,Houston Astros,https://www.baseball-reference.com/req/202406130/images/headshots/b/bfcef240_mlbam.jpg
Tyler Black,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/1/18a71616_mlbam.jpg
Dominic Fletcher,Chicago White Sox,https://www.baseball-reference.com/req/202406130/images/headshots/5/53c2e856_mlbam.jpg
Oscar Colás,Chicago White Sox,https://www.baseball-reference.com/req/202406130/images/headshots/c/c2beb9d0_mlbam.jpg
Brett Baty,New York Mets,https://www.baseball-reference.com/req/202406130/images/headshots/d/de5e1284_mlbam.jpg
Cooper Hummel,Houston Astros,https://www.baseball-reference.com/req/202406130/images/headshots/b/bd1260ee_mlbam.jpg
Kevin Herget,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/3/3414cb3d_mlbam.jpg
Braden Shewmake,Chicago White Sox,https://www.baseball-reference.com/req/202406130/images/headshots/8/846922fa_mlbam.jpg
Bryan Ramos,Chicago White Sox,https://www.baseball-reference.com/req/202406130/images/headshots/3/3bc98f5f_mlbam.jpg
Jeferson Quero,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/2/284f81ec_mlbam.jpg
Carlos Rodríguez,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/e/eeecbe86_mlbam.jpg
Lenyn Sosa,Chicago White Sox,https://www.baseball-reference.com/req/202406130/images/headshots/d/d31643e4_mlbam.jpg
Logan Porter,New York Mets,https://www.baseball-reference.com/req/202406130/images/headshots/3/3c219fff_mlbam.jpg
Alex Ramírez,New York Mets,https://www.baseball-reference.com/req/202406130/images/headshots/3/33ec589d_mlbam.jpg
Blake Dunn,Cincinnati Reds,https://www.baseball-reference.com/req/202406130/images/headshots/9/96d6b784_mlbam.jpg
Jacob Amaya,Houston Astros,https://www.baseball-reference.com/req/202406130/images/headshots/b/bc748aac_mlbam.jpg
Alexander Canario,Chicago Cubs,https://www.baseball-reference.com/req/202406130/images/headshots/a/a1b0b3d8_mlbam.jpg
Jordan Lawlar,Arizona Diamondbacks,https://www.baseball-reference.com/req/202406130/images/headshots/1/1afbc440_mlbam.jpg
Tyler Jay,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/e/e09db5da_mlbam.jpg
Zach DeLoach,Chicago White Sox,https://www.baseball-reference.com/req/202406130/images/headshots/2/2301f11d_mlbam.jpg
Tylor Megill,New York Mets,https://www.baseball-reference.com/req/202406130/images/headshots/8/886e9477_mlbam.jpg
Jacob Hurtubise,Cincinnati Reds,https://www.baseball-reference.com/req/202406130/images/headshots/d/da1bc43a_mlbam.jpg
Liván Soto,Cincinnati Reds,https://www.baseball-reference.com/req/202406130/images/headshots/2/2033a51c_mlbam.jpg
Luisangel Acuña,New York Mets,https://www.baseball-reference.com/req/202406130/images/headshots/a/a36b116c_mlbam.jpg
Dylan Coleman,Houston Astros,https://www.baseball-reference.com/req/202406130/images/headshots/9/9640917a_mlbam.jpg
Kenedy Corona,Houston Astros,https://www.baseball-reference.com/req/202406130/images/headshots/3/354788e1_mlbam.jpg
Luis Vázquez,Chicago Cubs,https://www.baseball-reference.com/req/202406130/images/headshots/9/913f892e_mlbam.jpg
Blaze Alexander,Arizona Diamondbacks,https://www.baseball-reference.com/req/202406130/images/headshots/1/1cb9035e_mlbam.jpg
Bradley Blalock,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/6/69098d97_mlbam.jpg
Abner Uribe,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/5/5a040b88_mlbam.jpg
Davis Martin,Chicago White Sox,https://www.baseball-reference.com/req/202406130/images/headshots/a/ab8ddf60_mlbam.jpg
Matt Gage,New York Mets,https://www.baseball-reference.com/req/202406130/images/headshots/f/f2ff040f_mlbam.jpg
Yosver Zulueta,Cincinnati Reds,https://www.baseball-reference.com/req/202406130/images/headshots/1/17e7f1eb_mlbam.jpg
Parker Mushinski,Houston Astros,https://www.baseball-reference.com/req/202406130/images/headshots/9/9eb8d593_mlbam.jpg
Eli White,Atlanta Braves,https://www.baseball-reference.com/req/202406130/images/headshots/3/3d5a66d4_mlbam.jpg
Jorge Barrosa,Arizona Diamondbacks,https://www.baseball-reference.com/req/202406130/images/headshots/4/45947072_mlbam.jpg
Pavin Smith,Arizona Diamondbacks,https://www.baseball-reference.com/req/202406130/images/headshots/6/6f6c11d6_mlbam.jpg
Aaron Ashby,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/7/733df4eb_mlbam.jpg
Alex Young,New York Mets,https://www.baseball-reference.com/req/202406130/images/headshots/f/f1cfe2e3_mlbam.jpg
Kaleb Ort,Houston Astros,https://www.baseball-reference.com/req/202406130/images/headshots/8/84e6b91b_mlbam.jpg
Luke Williams,Atlanta Braves,https://www.baseball-reference.com/req/202406130/images/headshots/5/51b99378_mlbam.jpg
Jackson Holliday,Baltimore Orioles,https://www.baseball-reference.com/req/202406130/images/headshots/1/12bcaeab_mlbam.jpg
Matt Mervis,Chicago Cubs,https://www.baseball-reference.com/req/202406130/images/headshots/6/6d1b2722_mlbam.jpg
Nick Madrigal,Chicago Cubs,https://www.baseball-reference.com/req/202406130/images/headshots/4/425cf43d_mlbam.jpg
Luis Frías,Arizona Diamondbacks,https://www.baseball-reference.com/req/202406130/images/headshots/3/3dc16950_mlbam.jpg
Janson Junk,Milwaukee Brewers,https://www.baseball-reference.com/req/202406130/images/headshots/e/e7dccc30_mlbam.jpg
Brennen Davis,Chicago Cubs,https://www.baseball-reference.com/req/202406130/images/headshots/4/422550ad_mlbam.jpg
Josh Walker,New York Mets,https://www.baseball-reference.com/req/202406130/images/headshots/c/cb34aa9a_mlbam.jpg
Connor Phillips,Cincinnati Reds,https://www.baseball-reference.com/req/202406130/images/headshots/1/17809c9d_mlbam.jpg
Jake Eder,Chicago White Sox,https://www.baseball-reference.com/req/202406130/images/headshots/0/0f49f0bb_mlbam.jpg
J.P. France,Houston Astros,https://www.baseball-reference.com/req/202406130/images/headshots/f/f2e4d67a_mlbam.jpg
Christian Roa,Cincinnati Reds,https://www.baseball-reference.com/req/202406130/images/headshots/2/2bdad43e_mlbam.jpg
Austin Nola,Kansas City Royals,https://www.baseball-reference.com/req/202406130/images/headshots/b/b65585ec_mlbam.jpg
Tyler Gentry,Kansas City Royals,https://www.baseball-reference.com/req/202406130/images/headshots/a/ad69b513_mlbam.jpg
